"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"1","오징어순대","찜류","어패류찜","350","466.86","58.3","45.7","5.6","0.4","1258.71"
"2","대구찜","찜류","어패류찜","500","376.42","24.7","51.7","7.9","5.7","1898.67"
"3","동태찜","찜류","어패류찜","500","394.32","25.8","50.9","9.7","5.7","1985.6"
"4","돼지등갈비찜","찜류","육류찜","450","961.04","57.4","72.1","49.2","24.1","2395.17"
"5","돼지머리고기","찜류","육류찜","200","650","3.5","42.4","52","0.1","333.64"
"6","매운갈비찜","찜류","육류찜","300","517.44","23.7","61.3","19.7","10.7","1138.51"
"7","북어찜","찜류","어패류찜","150","235","18","28.1","5.7","6.4","900.98"
"8","붕어찜","찜류","어패류찜","1100","835.6","71.6","54.3","36.9","16.2","3952.03"
"9","소갈비찜","찜류","육류찜","250","494.6","13.14","49.86","26.96","4.32","753.63"
"10","순대","찜류","육류찜","300","542.42","58.36","19.56","25.64","3.5","1019.19"
"11","아구찜","찜류","어패류찜","400","310.87","17.47","48.3","5.31","0.69","1406.2"
"12","아구찜","찜류","어패류찜","750","492.32","43.1","65.4","6.5","8.2","3425.72"
"13","안동찜닭","찜류","육류찜","1500","1364.21","139.5","114.2","38.8","66.8","5462.32"
"14","조기찜","찜류","어패류찜","100","182.12","1.64","20.06","10.59","0","602.03"
"15","참꼬막","찜류","어패류찜","80","90.79","4.59","12.47","2.5","0","234.16"
"16","해물찜","찜류","어패류찜","500","400.08","35.4","42.6","9.8","5.5","2137.21"
"17","찐감자","찜류","채소류찜","200","140.18","30.02","4.32","0.31","1.71","6.75"
"18","찐고구마","찜류","채소류찜","200","277.31","64.94","3.34","0.47","32.64","19.46"
"19","찐옥수수","찜류","채소류찜","200","370.54","68.39","13.36","4.84","4.72","179.23"
"20","가오리찜","찜류","어패류찜","200","204.63","0.92","43.98","2.78","0.11","302.21"
"21","깻잎찜","찜류","채소류찜","100","97.42","5.96","5.21","5.86","1.33","792.23"
"22","꼬막찜","찜류","어패류찜","200","192.87","13.93","24.06","4.55","2.06","1472.19"
"23","꽈리고추찜","찜류","채소류찜","100","103.92","17.69","3.59","2.09","0.44","315.91"
"24","달걀찜(우유)","찜류","기타 찜류","200","209.74","7.59","16.45","12.62","5.09","523.51"
"25","달걀찜(새우젓)","찜류","기타 찜류","200","116.3","0.93","9.96","8.08","0","493.75"
"26","닭찜","찜류","육류찜","300","320.01","1.8","37.1","18.27","0","673.07"
"27","돼지갈비찜","찜류","육류찜","300","581.39","22.33","39.86","36.96","0.39","1432.59"
"28","돼지고기 수육","찜류","육류찜","300","936.89","7.05","59.65","74.46","7.21","121.28"
"29","쇠갈비찜","찜류","육류찜","300","256.01","20.85","21.75","9.51","2.24","816.9"
"30","쇠고기사태찜","찜류","육류찜","300","328.77","11","36.3","15.51","0.4","905.34"
"31","쇠고기수육","찜류","육류찜","300","498.92","6.11","85.29","14.81","0.33","91.81"
"32","순대","찜류","육류찜","220","410.53","78.6","6.04","8","3.06","1327.97"
"33","아귀찜","찜류","어패류찜","200","168.18","14.52","13.44","6.26","5.46","783.1"
"34","애호박찜","찜류","채소류찜","100","181.05","21.18","9.5","6.48","1.81","161.25"
"35","족발","찜류","육류찜","250","582.68","2.32","65.09","34.78","0","861.47"
"36","코다리찜","찜류","어패류찜","200","188.69","12.15","28.97","2.69","5","1240.64"
"37","풋고추찜","찜류","채소류찜","100","51.22","8.27","2.31","0.99","1.44","708.36"
"38","해물콩나물찜","찜류","어패류찜","200","111.2","9.93","13.33","2.02","0","446.45"
"39","돈수육 & 해물냉채","찜류","육류찜","74","131.87","3.03","11.62","8.14","0","215.71"
"40","닭가슴살 두부선","찜류","기타 찜류","90","94.34","1.13","14.4","3.58","0","17.24"
"41","토마토 채소 계란찜","찜류","기타 찜류","135","181.76","4","11.68","13.23","0","159.3"
"42","돼지고기 묵은지찜","찜류","육류찜","100","99","2","7","7","0","683"
"43","마늘보쌈세트","찜류","육류찜","100","209","11","12","13","6","629"
"44","고추잡채","볶음류","기타 볶음류","200","256.77","26.17","10.99","12.01","2.09","828.55"
"45","난자완스","볶음류","육류볶음","200","346.25","19.15","21.63","20.35","0.49","703.23"
"46","깻잎나물볶음","볶음류","채소류볶음","200","206","11.5","7.5","14.4","0.6","1042.68"
"47","돼지고기볶음","볶음류","육류볶음","200","350.67","18.21","22.96","20.67","8.2","1051.76"
"48","돼지껍데기볶음","볶음류","육류볶음","150","352","24.5","25.8","16.7","5.5","779.81"
"49","두부김치","볶음류","채소류볶음","250","288.21","14.08","19.47","17.11","1.49","989.69"
"50","머위나물볶음","볶음류","채소류볶음","150","108","7.6","3.5","7","1.8","718.63"
"51","멸치풋고추볶음","볶음류","어패류볶음","20","52.38","3.41","4.65","2.24","1.43","275.54"
