"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"1","고들빼기","김치류","김치","50","55.53","10.93","1.58","0.61","2.84","742.43"
"2","열무얼갈이김치","김치류","김치","50","17.68","2.61","1.07","0.33","0.46","339.9"
"3","갓김치","김치류","김치","40","16.53","1.88","1.03","0.54","0.47","175.22"
"4","고들빼기김치","김치류","김치","50","35.27","5.76","1.5","0.69","2.2","302.71"
"5","깍두기","김치류","김치","50","16.4","2.12","0.78","0.53","1.27","403.75"
"6","깻잎김치","김치류","김치","50","31.15","4.46","1.41","0.86","2.02","462.03"
"7","나박김치","김치류","김치","100","9.82","1.15","0.46","0.38","0.34","377.45"
"8","돌나물물김치","김치류","김치","400","19.78","3","1.25","0.31","1.4","949.46"
"9","동치미","김치류","김치","200","27.21","4.55","0.58","0.74","2.9","823.74"
"10","배추김치","김치류","김치","40","10.66","1.27","0.68","0.31","0.95","123.03"
"11","백김치","김치류","김치","90","16.56","2.06","0.92","0.51","0.7","402.65"
"12","보쌈김치","김치류","김치","90","27.21","3.36","1.97","0.65","1.52","595.04"
"13","부추김치","김치류","김치","50","23.33","3.18","1.34","0.58","2.04","380.66"
"14","얼갈이배추김치","김치류","김치","80","50.46","8.75","1.27","1.16","0.3","196.87"
"15","열무김치","김치류","김치","40","10.71","0.86","0.72","0.49","0.17","194.47"
"16","오이김치","김치류","김치","70","26.54","3.95","1.44","0.56","1.66","326.04"
"17","오이소박이","김치류","김치","100","32.38","4.43","1.73","0.86","3.4","541.03"
"18","총각김치","김치류","김치","70","22.89","3.57","0.98","0.52","1.34","332"
"19","파김치","김치류","김치","30","13.32","1.26","0.77","0.58","0.45","259.16"
"20","무염 겉절이","김치류","김치","32","11.96","2.53","0.45","0.01","0","1.67"
"21","저염 겉절이","김치류","김치","33","13.11","2.05","0.72","0.23","0","215.66"
"22","고구마 김치","김치류","김치","62","95.86","22.44","0.91","0.27","0","1.44"
"23","배 깍두기","김치류","김치","56","31.66","6.33","0.72","0.39","0","284.48"
"24","콜라비 깍두기","김치류","김치","63","40.67","6.12","2.07","0.88","0","378.32"
"25","비타 오이 물김치","김치류","김치","55","13.46","2.99","0.34","0.02","0","30.88"
"26","무말랭이 김치","김치류","김치","35","10.86","2.56","0.14","0","0","1.85"
