"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"3","멍게비빔밥","밥류","비빔밥류","400","547.21","90.7","16.6","13.1","16.7","1144.8"
"4","묵밥","밥류","기타 밥류","950","642.16","128.6","14.8","7.7","15.1","2075.5"
"5","비빔밥","밥류","비빔밥류","450","691.62","98.7","24.6","22","18.3","1119.66"
"6","삼선볶음밥","밥류","볶음밥류","400","686.11","85.75","26.24","26.46","1.58","1213.56"
"7","송이덮밥","밥류","덮밥류","600","581.81","95.6","18.21","14.06","2.27","1678.01"
"8","약초비빔밥","밥류","비빔밥류","400","511.8","80.2","11.9","15.9","2.9","971.61"
"9","오곡밥","밥류","쌀밥.잡곡밥류","250","388.82","82.32","11.95","1.3","0.17","113.9"
"10","자장밥","밥류","덮밥류","500","741.66","120.06","15.24","22.28","5.37","1560.38"
"11","잡탕밥","밥류","덮밥류","750","777.44","104.94","44.12","20.13","0.48","2109.52"
"12","장어덮밥","밥류","덮밥류","400","716.54","97.35","30.09","22.98","5.59","920.77"
"13","참치덮밥","밥류","덮밥류","500","679.1","102.93","29.2","16.73","2.98","1618.74"
"14","해물덮밥","밥류","덮밥류","700","771.93","100.45","42.04","22.44","1.19","1802.68"
"15","해물볶음밥","밥류","볶음밥류","400","705.22","90.46","25.1","27","1.22","1074.35"
"16","회덮밥","밥류","덮밥류","500","683.02","103.3","30.21","16.55","10.93","744.27"
"17","BBQ갈비라이스","밥류","볶음밥류","371","567","0","25","0","16","1203"
"18","치즈 불고기 도리아","밥류","볶음밥류","200","365","0","11","0","5","540"
"19","검정콩밥","밥류","쌀밥.잡곡밥류","200","330.61","68.59","9.06","2.23","0","6.87"
"20","계란볶음밥","밥류","볶음밥류","260","584.71","62.99","17.22","29.32","0.44","827.6"
"21","기장밥","밥류","쌀밥.잡곡밥류","200","331.91","73.53","6.87","1.14","0","2.79"
"22","김치볶음밥","밥류","볶음밥류","330","550.64","51.93","17.56","30.3","45.85","1549.8"
"23","낙지덮밥","밥류","덮밥류","350","525.24","84.42","20.58","11.69","7.55","743.31"
"24","닭고기덮밥","밥류","덮밥류","410","510.58","60.77","46.75","8.94","4.39","626.21"
"25","돌솥비빔밥","밥류","비빔밥류","380","558.1","93.77","20.5","11.22","4.73","1281.83"
"26","모듬회덮밥","밥류","덮밥류","410","593.54","72.8","37.32","17.01","12.57","634.31"
"27","무밥","밥류","기타 밥류","200","266.19","56.34","7.33","1.28","0","554.22"
"28","보리밥","밥류","쌀밥.잡곡밥류","200","321.63","73.54","5.8","0.48","5.14","7.85"
"29","볶음밥","밥류","볶음밥류","350","640.48","118.88","19.47","9.67","0","743.58"
"30","불고기덮밥","밥류","덮밥류","400","728.18","107.84","26.39","21.25","0.28","1011.43"
"31","비빔밥","밥류","비빔밥류","450","637.54","84.76","30.89","19.44","0.22","1041.85"
"32","새우볶음밥","밥류","볶음밥류","370","635.75","84.54","23.33","22.7","2.63","538.64"
"33","쇠고기볶음밥","밥류","볶음밥류","260","456.99","56.58","19.74","16.86","0.22","560.18"
"34","수수밥","밥류","쌀밥.잡곡밥류","200","321.89","70.04","6.31","1.83","0.15","2.55"
"35","알밥","밥류","기타 밥류","330","422.13","51.99","15.61","16.86","7.6","1418.08"
"36","영양돌솥밥","밥류","기타 밥류","350","643.16","126.22","12.02","10.03","2.22","21.94"
"37","오므라이스","밥류","볶음밥류","400","692.71","82.14","25.98","28.91","12.76","1730.11"
"38","오징어덮밥","밥류","덮밥류","360","484.59","79","25.85","7.24","2.37","582.23"
"39","완두콩밥","밥류","쌀밥.잡곡밥류","200","276.32","62.49","5.89","0.31","0","590.06"
"40","육회비빔밥","밥류","비빔밥류","300","442.29","68.76","19.16","10.07","13.36","1337.23"
"41","잡곡밥","밥류","쌀밥.잡곡밥류","200","292.6","58.65","10.59","1.74","0.64","5.29"
"42","잡채밥","밥류","덮밥류","550","825.15","141.85","22.11","18.81","0.3","1247.22"
"43","제육덮밥","밥류","덮밥류","470","949.76","79.22","44.3","50.63","9.3","819.84"
"44","짜장밥","밥류","덮밥류","470","572.62","73.17","20.08","22.18","0.16","1109.91"
"45","차조밥","밥류","쌀밥.잡곡밥류","200","313.24","69.71","5.67","1.3","0.07","2.81"
"46","찰밥","밥류","쌀밥.잡곡밥류","280","429.7","93.97","12.3","0.51","1.37","9.35"
"47","참치볶음밥","밥류","볶음밥류","230","412.97","75.68","10.63","7.52","0.27","1450.92"
"48","채소볶음밥","밥류","볶음밥류","260","474.03","74.73","12.26","14.01","0.76","1060.34"
"49","카레라이스","밥류","덮밥류","480","518.4","99.53","14.94","6.73","0.78","1007.05"
"50","콩나물밥","밥류","기타 밥류","320","392.17","71.66","14.98","5.07","0.12","868.99"
"51","팥밥","밥류","쌀밥.잡곡밥류","200","286","64.51","6.56","0.19","0","7.12"
"52","표고버섯볶음밥","밥류","볶음밥류","300","551.73","95.37","10.09","14.43","0","896.57"
"53","하이라이스","밥류","덮밥류","360","401.93","76.84","14.47","4.08","0","884.09"
"54","현미밥","밥류","쌀밥.잡곡밥류","230","396.31","89.48","7.14","1.09","0","4.8"
"55","흑미밥","밥류","쌀밥.잡곡밥류","200","348.7","80.14","6.53","0.22","0.04","3.51"
"56","새우필라프","밥류","볶음밥류","253","438","77.47","9.72","9.56","1.85","754.55"
"57","불고기필라프","밥류","볶음밥류","259","465","85.19","11.42","9.25","3.16","1062.18"
