"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"1","게국지","국 및 탕류","어패류국.탕","1100","415.25","31.7","44.9","12.1","10.8","4047.26"
"2","곰치국","국 및 탕류","어패류국.탕","1000","419.29","23.9","54.3","11.8","2.8","3802.06"
"3","굴국밥","국 및 탕류","어패류국.탕","650","683","88.4","42.4","17.8","0.3","1635.39"
"4","김치국","국 및 탕류","채소류국.탕","450","89","10.5","5.4","2.8","2.9","1642.08"
"5","떡만둣국","국 및 탕류","기타 국류","700","624.92","110.71","20.06","11.32","0.16","1980.19"
"6","만둣국","국 및 탕류","기타 국류","700","434.05","47.83","21.43","17.44","3.05","2367.99"
"7","맑은감자국","국 및 탕류","채소류국.탕","700","221","34.6","8.3","5.5","5.2","1712.29"
"8","매생이국","국 및 탕류","어패류국.탕","500","119","13.4","10","2.8","0.4","1420.3"
"9","무된장국","국 및 탕류","채소류국.탕","450","104","14.7","6.1","2.4","5.9","1741.46"
"10","미소된장국","국 및 탕류","채소류국.탕","150","38","2.8","2.8","1.8","0.7","517.03"
"11","바지락조개국","국 및 탕류","어패류국.탕","550","157","10.1","22","3.1","1.3","1596.17"
"12","뼈다귀해장국","국 및 탕류","육류국.탕","1000","714","23.4","74.6","35.7","5.7","3088.21"
"13","선지해장국","국 및 탕류","육류국.탕","1000","312","16.7","49.3","5.4","3.9","3074.53"
"14","소고기무국","국 및 탕류","육류국.탕","400","123","7.8","14.2","4","3.5","1067.02"
"15","시래기된장국","국 및 탕류","채소류국.탕","450","99","11","6.7","3.1","1.3","1523.66"
"16","올갱이국","국 및 탕류","어패류국.탕","600","144.26","13","13.7","4.2","1.6","2017.16"
"17","우거지해장국","국 및 탕류","채소류국.탕","600","154.38","13.5","11.9","5.9","2.5","2049.59"
"18","우렁된장국","국 및 탕류","어패류국.탕","500","245","19.2","24.6","7.7","3.6","2134.21"
"19","홍합미역국","국 및 탕류","어패류국.탕","650","167","11.6","19.7","4.7","0","2043.68"
"20","황태해장국","국 및 탕류","어패류국.탕","600","181.7","5.7","24.5","6.8","1.5","1533.09"
"21","소고기샤브샤브","찌개 및 전골류","육류찌개.전골","600","263.75","14.7","29.1","9.8","2.4","1122.4"
"22","초당순두부","국 및 탕류","채소류국.탕","900","522.69","15.8","49.1","29.2","0.9","1203.36"
"23","고등어찌개","찌개 및 전골류","어패류찌개.전골","600","601.62","25.6","48.9","33.7","7.4","2584.06"
"24","김치찌개","찌개 및 전골류","채소류찌개.전골","400","243.03","11.93","15.07","15","3.02","1962.14"
"25","꽁치찌개","찌개 및 전골류","어패류찌개.전골","300","355","12.2","24","23.3","5.9","1296.4"
"26","두부전골","찌개 및 전골류","채소류찌개.전골","500","315.16","17.1","25.6","16.1","3.5","1650.77"
"27","버섯찌개","찌개 및 전골류","채소류찌개.전골","400","167.56","15.4","14.7","5.2","4.4","1293.87"
"28","부대찌개","찌개 및 전골류","육류찌개.전골","600","399.5","39.7","18.4","18.6","6.2","2321.9"
"29","새우젓두부찌개","찌개 및 전골류","채소류찌개.전골","300","166","7.2","16.2","8.1","1.7","1123.08"
"30","소곱창전골","찌개 및 전골류","육류찌개.전골","600","529","29.2","41.6","27.3","2.3","1779.63"
"31","햄김치찌개","찌개 및 전골류","육류찌개.전골","300","189","12.7","11.1","10.4","3.6","1583.05"
"32","호박찌개","찌개 및 전골류","채소류찌개.전골","300","95","12.2","5.6","2.6","5.8","1024.11"
"33","곰탕","국 및 탕류","육류국.탕","300","183.25","18.1","19.4","3.7","0.5","716.36"
"34","광어매운탕","국 및 탕류","어패류국.탕","600","419.79","9.13","58.42","16.62","1.42","1799.02"
"35","낙지탕","국 및 탕류","어패류국.탕","600","187.8","10.4","29.4","3.2","1.9","1704.69"
"36","대구매운탕","국 및 탕류","어패류국.탕","600","361.75","16.84","57.36","7.21","1.09","1983.9"
"37","대구지리탕","국 및 탕류","어패류국.탕","600","262.02","9.9","41.6","6.2","1.5","1476.25"
"38","메기매운탕","국 및 탕류","어패류국.탕","600","400","48.6","28.6","10.2","5.7","1859.96"
"39","복지리탕","국 및 탕류","어패류국.탕","600","232.05","10.3","41.7","2.7","1.4","1349.98"
"40","소탕","국 및 탕류","육류국.탕","150","86.37","1.9","7.66","5.35","0.03","353.59"
"41","아구탕","국 및 탕류","어패류국.탕","600","246.07","12.8","37.8","4.9","1.8","1863.34"
"42","어탕","국 및 탕류","어패류국.탕","150","85.87","1.82","12.7","3.09","0","485.08"
